ID,Project,Sector,State,Cost,Spent,Progress,Status,Target,Expected
P001,Mumbai Coastal Road Phase 2,Transport,Maharashtra,12000,9800,61,Delayed,2027-06-30,2028-03-31
P002,Mumbai Metro Expansion,Transport,Maharashtra,8500,4200,72,On Track,2027-12-31,2027-12-31
P003,National Solar Park,Energy,Rajasthan,5000,2100,68,On Track,2027-03-31,2027-03-31
P004,Urban Water Pipeline,Water,Maharashtra,3200,2700,63,Delayed,2026-12-31,2027-08-31
P005,High Speed Rail Corridor,Transport,Gujarat,15000,7600,46,At Risk,2029-12-31,2030-06-30
P006,Rural Electrification,Energy,Madhya Pradesh,2800,1200,71,On Track,2027-08-31,2027-08-31
P007,National Highway Upgrade,Transport,Karnataka,7200,5900,68,Delayed,2026-10-31,2027-04-30
P008,Smart City Water Treatment,Water,Tamil Nadu,1900,800,75,On Track,2027-02-28,2027-02-28
P009,Wind Energy Development,Energy,Gujarat,4100,2500,52,At Risk,2027-11-30,2028-01-31
P010,Industrial Corridor Development,Infrastructure,Maharashtra,9800,7200,58,Delayed,2028-03-31,2028-12-31
P011,Regional Airport Expansion,Transport,Kerala,3600,1400,74,On Track,2027-09-30,2027-09-30
P012,Interstate Water Transfer,Water,Telangana,6700,5100,57,Delayed,2028-06-30,2029-03-31
P013,Green Hydrogen Facility,Energy,Gujarat,5500,1800,70,On Track,2028-12-31,2028-12-31
P014,City Bus Rapid Transit,Transport,Maharashtra,2300,1900,67,Delayed,2026-11-30,2027-05-31
P015,National Irrigation Modernization,Water,Punjab,4400,2500,49,At Risk,2027-12-31,2028-04-30
P016,Defence Manufacturing Corridor,Infrastructure,Uttar Pradesh,8800,3900,68,On Track,2029-03-31,2029-03-31
P017,Coastal Port Modernization,Transport,Odisha,6100,4700,59,Delayed,2027-07-31,2028-01-31
P018,Hydropower Expansion,Energy,Himachal Pradesh,7600,4300,72,On Track,2028-08-31,2028-08-31
P019,Metropolitan Sewage Treatment,Water,Delhi,2700,2200,64,Delayed,2026-12-31,2027-06-30
P020,National Logistics Hub,Transport,Haryana,9200,3600,76,On Track,2028-06-30,2028-06-30
